"Name","Price","ProducerName","MPN","FormFactor","Protocol","Size","NAND","Controller","ProductPage"
"Crucial BX500 - 120 GB 120 GB",26.83,"Crucial","CT120BX500SSD1","SATA","SATA","120 GB","TLC","Silicon Motion SM2258XT","https://www.amazon.ca/dp/B07G3KRZBY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Crucial BX500 - 2 TB 2000 GB",96.67,"Crucial","CT2000BX500SSD1","SATA","SATA","2000 GB","TLC","Silicon Motion SM2259XT","https://www.amazon.ca/dp/B07YD5F561?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Crucial BX500 - 240 GB 240 GB",25.38,"Crucial","CT240BX500SSD1","SATA","SATA","240 GB","TLC","Silicon Motion SM2258XT","https://www.amazon.ca/dp/B07G3YNLJB?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Crucial BX500 - 480 GB 480 GB",32.62,"Crucial","CT480BX500SSD1","SATA","SATA","480 GB","TLC","Silicon Motion SM2258XT","https://www.amazon.ca/dp/B07G3KGYZQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Crucial BX500 - 960 GB 960 GB",0,"Crucial","CT960BX500SSD1","SATA","SATA","960 GB","TLC","Silicon Motion SM2259XT",""
"Crucial MX300",66.92,"Crucial","CT275MX300SSD1","SATA","SATA","275 GB","TLC","Marvell 88SS1074","https://www.amazon.ca/Crucial-MX300-275GB-NAND-Internal/dp/B01IAGSD5O?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01IAGSD5O"
"Crucial MX300",131.29,"Crucial","CT525MX300SSD1","SATA","SATA","525 GB","TLC","Marvell 88SS1074","https://www.amazon.ca/Crucial-MX300-525GB-NAND-Internal/dp/B01IAGSD68?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01IAGSD68"
"Crucial MX300",196.36,"Crucial","CT1050MX300SSD1","SATA","SATA","1000 GB","TLC","Marvell 88SS1074","https://www.amazon.ca/Crucial-MX300-NAND-SATA-Internal/dp/B01IAGSDUE?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01IAGSDUE"
"Crucial MX300",321.94,"Crucial","CT2050MX300SSD1","SATA","SATA","2000 GB","TLC","Marvell 88SS1074","https://www.amazon.ca/Crucial-MX300-NAND-SATA-Internal/dp/B01KKZLX46?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01KKZLX46"
"Crucial MX300 275GB TLC",101.55,"Crucial","CT275MX300SSD4","M.2","SATA","275 GB","","","https://www.amazon.ca/Crucial-MX300-275GB-NAND-Internal/dp/B01IAGSDJ0?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01IAGSDJ0"
"Crucial MX300 M.2 Solid State Drive",137.05,"Crucial","CT525MX300SSD4","M.2","SATA","525 GB","TLC","Marvell 88SS1074","https://www.amazon.ca/Crucial-MX300-525GB-NAND-Internal/dp/B01L80DH4G?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01L80DH4G"
"Crucial MX300 M.2 Solid State Drive",174.67,"Crucial","CT1050MX300SSD4","M.2","SATA","1000 GB","","","https://www.amazon.ca/Crucial-MX300-NAND-SATA-Internal/dp/B01L80DH1Y?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01L80DH1Y"
"Crucial MX500 250 GB",38.18,"Crucial","CT250MX500SSD1","SATA","SATA","250 GB","TLC","Silicon Motion SM2258","https://www.amazon.ca/dp/B0781VSXBP?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Crucial MX500 M.2 Solid State Drive 1000 GB",106.43,"Crucial","CT1000MX500SSD4","M.2","SATA","1000 GB","TLC","Silicon Motion SM2258","https://www.amazon.ca/dp/B0784SY515?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Crucial MX500 M.2 Solid State Drive 250 GB",50.05,"Crucial","CT250MX500SSD4","M.2","SATA","250 GB","TLC","Silicon Motion SM2258","https://www.amazon.ca/dp/B077SL4FZG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Crucial MX500 M.2 Solid State Drive 500 GB",79.78,"Crucial","CT500MX500SSD4","M.2","SATA","500 GB","TLC","Silicon Motion SM2258","https://www.amazon.ca/dp/B077SQ8J1V?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Crucial P5 1000 GB",108.8,"Crucial","CT1000P5SSD8","M.2","NVM","1000 GB","TLC","Micron","https://www.amazon.ca/dp/B087QRVVVH?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Crucial P5 2000 GB",251.01,"Crucial","CT2000P5SSD8","M.2","NVM","2000 GB","TLC","Micron","https://www.amazon.ca/dp/B0892TWDP1?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Crucial P5 250 GB",50.77,"Crucial","CT250P5SSD8","M.2","NVM","250 GB","TLC","Micron","https://www.amazon.ca/dp/B0892TH611?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Crucial P5 500 GB",68.9,"Crucial","CT500P5SSD8","M.2","NVM","500 GB","TLC","Micron","https://www.amazon.ca/dp/B087QTMXS7?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Crucial P5 Plus 1000 GB",88.63,"Crucial","CT1000P5PSSD8","M.2","NVM","1000 GB","TLC","Micron","https://www.amazon.ca/dp/B098WL46RS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Crucial P5 Plus 2000 GB",181.73,"Crucial","CT2000P5PSSD8","M.2","NVM","2000 GB","TLC","Micron","https://www.amazon.ca/dp/B098WKQRDL?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Crucial P5 Plus 500 GB",61.75,"Crucial","CT500P5PSSD8","M.2","NVM","500 GB","TLC","Micron","https://www.amazon.ca/dp/B098W1NDV2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Gigabyte",0,"Gigabyte","GP-GSM2NE8512GNTD","M.2","NVM","512 GB","TLC","Phison PS5008-E8T/li>",""
"Gigabyte 1000 GB",0,"Gigabyte","GP-GSTFS31100TNTD","SATA","SATA","1000 GB","TLC","",""
"Gigabyte 1000 GB",0,"Gigabyte","GP-GSM2NE3100TNTD","M.2","NVM","1000 GB","","",""
"Gigabyte 120 GB",28.79,"Gigabyte","GP-GSTFS31120GNTD","SATA","SATA","120 GB","","","https://www.amazon.ca/Gigabyte-GIGABYTE-120GB-Flash-Internal/dp/B07GJKR7RX?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07GJKR7RX"
"Gigabyte 128 GB",0,"Gigabyte","GP-GSM2NE3128GNTD","M.2","NVM","128 GB","","",""
"Gigabyte 240 GB",41.11,"Gigabyte","GP-GSTFS31240GNTD","SATA","SATA","240 GB","","","https://www.amazon.ca/dp/B07G5RD1XK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Gigabyte 256 GB",0,"Gigabyte","GP-GSTFS31256GTND","SATA","SATA","256 GB","","",""
"Gigabyte 256 GB",0,"Gigabyte","GP-GSM2NE3256GNTD","M.2","NVM","256 GB","","",""
"Gigabyte 480 GB",65.28,"Gigabyte","GP-GSTFS31480GNTD","SATA","SATA","480 GB","","","https://www.amazon.ca/dp/B07QJ756H8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Gigabyte 512 GB",82.53,"Gigabyte","GP-GSM2NE3512GNTD","M.2","NVM","512 GB","","","https://www.amazon.ca/Gigabyte-NVMe-3-0x4-512GB-GP-GSM2NE3512GNTD/dp/B07Z9YFX2S?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07Z9YFX2S"
"Gigabyte Aorus 1000 GB",288.02,"Gigabyte","GP-ASM2NE6100TTTD","M.2","NVM","1000 GB","TLC","Phison PS5016-E16","https://www.amazon.ca/GIGABYTE-PCI-Express-Interface-Performance-GP-ASM2NE6100TTTD/dp/B07TJWZGL9?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07TJWZGL9"
"Gigabyte Aorus 256 GB",88.21,"Gigabyte","GP-ASM2NE2256GTTDR","M.2","NVM","256 GB","TLC","Phison PS5012-E12","https://www.amazon.ca/GIGABYTE-AORUS-Nvme-256GB-GP-ASM2NE2256GTTDR/dp/B07PF1SBBS?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07PF1SBBS"
"Gigabyte Aorus 512 GB",107.38,"Gigabyte","GP-ASM2NE2512GTTDR","M.2","NVM","512 GB","TLC","Phison PS5012-E12","https://www.amazon.ca/dp/B07QBVWCQL?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Gigabyte UD PRO Series 1000 GB",0,"Gigabyte","GP-UDPRO1T","SATA","SATA","1000 GB","TLC","",""
"Gigabyte UD Pro Series 256 GB",61.24,"Gigabyte","GP-GSTFS30256GTTD","SATA","SATA","256 GB","TLC","Phison PS3110-S10 (8 Kanäle)","https://www.amazon.ca/GIGABYTE-256GB-Layer-Flash-Internal/dp/B07D9C7SQR?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07D9C7SQR"
"Gigabyte UD PRO Series 512 GB",0,"Gigabyte","GP-UDPRO512G","SATA","SATA","512 GB","TLC","",""
"Gigabyte UD PRO Series 512 GB",102.19,"Gigabyte","GP-GSTFS30512GTTD","SATA","SATA","512 GB","TLC","","https://www.amazon.ca/GIGABYTE-512GB-Layer-Flash-Internal/dp/B07D9686LD?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07D9686LD"
"HyperX Fury Series",0,"HyperX","SHFS37A/120G","SATA","SATA","120 GB","MLC","SandForce SF-2281",""
"HyperX Fury Series",0,"HyperX","SHFS37A/240G","SATA","SATA","240 GB","MLC","SandForce SF-2281",""
"HyperX Fury Series",0,"HyperX","SHFS37A/480G","SATA","SATA","480 GB","MLC","SandForce SF-2281",""
"HyperX Predator Solid State Drive",0,"HyperX","SHPM2280P2/240G","M.2","NVM","240 GB","MLC","Marvell 88SS9293",""
"HyperX Predator Solid State Drive",0,"HyperX","SHPM2280P2/480G","M.2","NVM","480 GB","MLC","Marvell 88SS9293",""
"HyperX Savage Series",0,"HyperX","SHSS37A/120G","SATA","SATA","120 GB","","",""
"HyperX Savage Series",0,"HyperX","SHSS37A/480G","SATA","SATA","480 GB","MLC","Phison PS3110-S10",""
"HyperX Savage Series",0,"HyperX","SHSS37A/240G","SATA","SATA","240 GB","MLC","Phison PS3110-S10",""
"HyperX Savage Series",378.68,"HyperX","SHSS37A/960G","SATA","SATA","960 GB","MLC","Phison PS3110-S10","https://www.amazon.ca/Kingston-HyperX-Savage-SHSS37A-960G/dp/B00W35L2A2?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00W35L2A2"
"Intel DC S3510 Serie 120GB",0,"Intel","SSDSC2BB120G601","SATA","SATA","120 GB","","",""
"Intel DC S3510 Serie 480GB",0,"Intel","SSDSC2BB480G601","SATA","SATA","480 GB","","",""
"Intel DC S3510 Serie 800GB",0,"Intel","SSDSC2BB800G601","SATA","SATA","800 GB","","",""
"Intel DC S3710 Serie 200GB",0,"Intel","SSDSC2BA200G401","SATA","SATA","200 GB","","",""
"Intel DC S3710 Serie 400GB",0,"Intel","SSDSC2BA400G401","SATA","SATA","400 GB","","",""
"Intel 535 Series 120GB MLC -",0,"Intel","SSDSCKJW120H601","M.2","SATA","120 GB","","",""
"Intel 540s Series",0,"Intel","SSDSC2KW010X6X1","SATA","SATA","1000 GB","","",""
"Intel 540s Series",0,"Intel","SSDSC2KW120H6X1","SATA","SATA","120 GB","TLC","Silicon Motion SM2256",""
"Intel 540s Series",0,"Intel","SSDSC2KW180H6X1","SATA","SATA","180 GB","TLC","Silicon Motion SM2256",""
"Intel 540s Series",0,"Intel","SSDSC2KW360H6X1","SATA","SATA","360 GB","TLC","Silicon Motion SM2256",""
"Intel 540s Series",0,"Intel","SSDSC2KW480H6X1","SATA","SATA","480 GB","TLC","Silicon Motion SM2256",""
"Intel 540s Series",0,"Intel","SSDSC2KW240H6X1","SATA","SATA","240 GB","TLC","Silicon Motion SM2256",""
"Intel 540s Series 240GB TLC -",0,"Intel","SSDSCKKW240H6X1","M.2","SATA","240 GB","","",""
"Intel 540s Series Solid State Drive",0,"Intel","SSDSCKKW360H6X1","M.2","SATA","360 GB","TLC","Silicon Motion SM2256",""
"Intel 540s Series Solid State Drive",0,"Intel","SSDSCKKW120H6X1","M.2","SATA","120 GB","TLC","Silicon Motion SM2256",""
"Intel 540s Series Solid State Drive",0,"Intel","SSDSCKKW480H6X1","M.2","SATA","480 GB","TLC","Silicon Motion SM2256",""
"Intel 540s Series Solid State Drive",0,"Intel","SSDSCKKW180H6X1","M.2","SATA","180 GB","TLC","Silicon Motion SM2256",""
"Intel 540s Series Solid State Drive",324.8,"Intel","SSDSCKKW010X6X1","M.2","SATA","1000 GB","","","https://www.amazon.ca/Intel-Solid-Stata-Drive-SSDSCKKW010X6X1/dp/B01C786L4G?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01C786L4G"
"Intel 600P Series",0,"Intel","SSDPEKKW010T7X1","M.2","NVM","1000 GB","","",""
"Intel 600P Series",0,"Intel","SSDPEKKW512G7X1","M.2","NVM","512 GB","TLC","Silicon Motion SM2260",""
"Intel 600P Series",0,"Intel","SSDPEKKW256G7X1","M.2","NVM","256 GB","TLC","Silicon Motion SM2260",""
"Intel 600P Series",0,"Intel","SSDPEKKW128G7X1","M.2","NVM","128 GB","TLC","Silicon Motion SM2260",""
"Intel 660P Series",109.71,"Intel","SSDPEKNW010T8X1","M.2","NVM","1000 GB","QLC","Silicon Motion SM2263EN","https://www.amazon.ca/dp/B07GCL6BR4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Intel 760p Series",93.42,"Intel","SSDPEKKW256G8XT","M.2","NVM","256 GB","TLC","Silicon Motion SM2262","https://www.amazon.ca/Intel-760P-256GB-80mm-PCIe/dp/B078VBL3T9?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B078VBL3T9"
"Intel 760p Series 1000 GB",218.72,"Intel","SSDPEKKW010T8X1","M.2","NVM","1000 GB","TLC","Silicon Motion SM2262","https://www.amazon.ca/dp/B078QD1KRB?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Intel 760p Series 128 GB",46.36,"Intel","SSDPEKKW128G8XT","M.2","NVM","128 GB","TLC","Silicon Motion SM2262","https://www.amazon.ca/dp/B078VBGSVL?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Intel 760p Series 2000 GB",443.83,"Intel","SSDPEKKW020T8X1","M.2","NVM","2000 GB","TLC","Silicon Motion SM2262","https://www.amazon.ca/Intel-760P-2-048TB-80mm-PCIe/dp/B078QD7M6J?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B078QD7M6J"
"Intel 760p Series 512 GB",111.25,"Intel","SSDPEKKW512G8XT","M.2","NVM","512 GB","TLC","Silicon Motion SM2262","https://www.amazon.ca/Intel%C2%AE-760P-512GB-80mm-PCIe/dp/B078VCGSKS?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B078VCGSKS"
"Intel DC S3500 Series",0,"Intel","SSDSC2BB800G401","SATA","SATA","800 GB","MLC","Intel",""
"Intel Optane 800P 118 GB",244.4,"Intel","SSDPEK1W120GA01","M.2","NVM","118 GB","3D XPoint","Intel SLL3D","https://www.amazon.ca/dp/B078T2SM3D?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Intel Optane 800P 58 GB",138.79,"Intel","SSDPEK1W060GA01","M.2","NVM","58 GB","3D XPoint","Intel SLL3D","https://www.amazon.ca/dp/B078SZZ1XF?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Intel Optane 900P AIC Solid State Drive 480 GB",642.3,"Intel","SSDPED1D480GAX1","M.2","NVM","480 GB","3D XPoint","Intel SLL3D","https://www.amazon.ca/dp/B077767L4X?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Intel Optane 900P NVMe 280 GB",0,"Intel","SSDPE21D280GAX1","SATA","SATA","280 GB","3D XPoint","Intel SLL3D",""
"Intel Optane 900P Series 2 280 GB",337.7,"Intel","SSDPE21D280GASM","M.2","NVM","280 GB","3D XPoint","Intel EAU01D76 SLL3D","https://www.amazon.ca/Intel-Optane-280GB-2-5in-XPoint/dp/B0772SSYDB?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0772SSYDB"
"Intel Optane 905P 380 GB",0,"Intel","SSDPEL1D380GAX1","M.2","NVM","380 GB","","Intel SLL3D",""
"Intel Optane Series",88.21,"Intel","MEMPEK1W032GAXT","M.2","NVM","32 GB","3D XPoint","Intel","https://www.amazon.ca/Intel-Optane-Memory-Module-MEMPEK1W032GAXT/dp/B06XSXX3NS?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06XSXX3NS"
"Intel Optane Series 16 GB",50.77,"Intel","MEMPEK1W016GAXT","M.2","NVM","16 GB","3D XPoint","Intel","https://www.amazon.ca/dp/B06XSMTN31?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Intel Pro 6000P Series",0,"Intel","SSDPEKKF512G7X1","M.2","NVM","512 GB","TLC","Silicon Motion SM2260",""
"Intel Pro 6000P Series",0,"Intel","SSDPEKKF128G7X1","M.2","NVM","128 GB","TLC","Silicon Motion SM2260",""
"Intel Pro 6000P Series",97.98,"Intel","SSDPEKKF256G7X1","M.2","NVM","256 GB","TLC","Silicon Motion SM2260","https://www.amazon.ca/Intel-SSDPEKKF256G7X1-6000p-express-Retail/dp/B01LW6USJD?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01LW6USJD"
"Intel Pro 6000P Series",378.84,"Intel","SSDPEKKF010T7X1","M.2","NVM","1000 GB","","","https://www.amazon.ca/Intel-SSDPEKKF010T7X1-Solid-State-Drive/dp/B01LVXUCFC?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01LVXUCFC"
"Intenso High Performance III 120GB TLC 3813430",0,"Intenso",3813430,"SATA","SATA","120 GB","","",""
"Intenso High Performance III 240GB TLC 3813440",0,"Intenso",3813440,"SATA","SATA","240 GB","","",""
"Intenso High Performance III 480GB TLC 3813450",0,"Intenso",3813450,"SATA","SATA","480 GB","","",""
"Intenso High Performance III 960GB TLC 3813460",0,"Intenso",3813460,"SATA","SATA","960 GB","","",""
"Intenso Top III 256GB MLC",0,"Intenso",3812440,"SATA","SATA","256 GB","","",""
"Intenso Top III 512GB MLC",0,"Intenso",3812450,"SATA","SATA","512 GB","","",""
"Kingston A1000 NVMe M.2 Solid State Drive",0,"Kingston","SA1000M8/480G","M.2","NVM","480 GB","TLC","Phison PS5008-E8",""
"Kingston A1000 NVMe M.2 Solid State Drive",50.38,"Kingston","SA1000M8/240G","M.2","NVM","240 GB","TLC","Phison PS5008-E8","https://www.amazon.ca/dp/B07BMXS6SH?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Kingston A400 - 960 GB 960 GB",50.75,"Kingston","SA400S37/960G","SATA","SATA","960 GB","TLC","Phison PS3111-S11","https://www.amazon.ca/dp/B079XC5PVV?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Kingston DC400 480GB",0,"Kingston","SEDC400S37/480G","SATA","SATA","480 GB","","",""
"Kingston DC400 960GB",324.25,"Kingston","SEDC400S37/960G","SATA","SATA","960 GB","","","https://www.amazon.ca/960Gb-Ssdnow-Dc400-Ssd-Sata/dp/B01LFOIK2Y?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01LFOIK2Y"
"Kingston Now E50 240GB MLC",0,"Kingston","SE50S37/240G","SATA","SATA","240 GB","","",""
"Kingston Now KC400 128GB MLC",0,"Kingston","SKC400S3B7A/128G","SATA","SATA","128 GB","","",""
"Kingston Now KC400 256GB MLC",0,"Kingston","SKC400S3B7A/256G","SATA","SATA","256 GB","","",""
"Kingston Now KC400 256GB MLC",0,"Kingston","SKC400S37/256G","SATA","SATA","256 GB","","",""
"Kingston Now KC400 512GB MLC",0,"Kingston","SKC400S37/512G","SATA","SATA","512 GB","","",""
"Kingston Now KC400 512GB MLC",0,"Kingston","SKC400S3B7A/512G","SATA","SATA","512 GB","","",""
"Kingston Now mS200 120GB MLC",0,"Kingston","SMS200S3/120G","SATA","SATA","120 GB","","",""
"Kingston Now mS200 480GB MLC",0,"Kingston","SMS200S3/480G","SATA","SATA","480 GB","","",""
"Kingston Now mS200 60GB MLC",0,"Kingston","SMS200S3/60G","SATA","SATA","60 GB","","",""
"Kingston Now UV400 120GB TLC",71.67,"Kingston","SUV400S3B7A/120G","SATA","SATA","120 GB","","","https://www.amazon.ca/Kingston-Digital-SSDNow-SUV400S3B7A-120G/dp/B01FRP254G?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01FRP254G"
"Kingston Now UV400 240GB TLC",0,"Kingston","SUV400S3B7A/240G","SATA","SATA","240 GB","","",""
"Kingston Now UV400 480GB TLC",0,"Kingston","SUV400S3B7A/480G","SATA","SATA","480 GB","","",""
"Kingston Now UV400 960GB TLC",0,"Kingston","SUV400S3B7A/960G","SATA","SATA","960 GB","","",""
"Kingston Now V300 120GB MLC",0,"Kingston","SV300S3B7A/120G","SATA","SATA","120 GB","","",""
"Kingston Now V300 120GB MLC",0,"Kingston","SV300S37A/120G","SATA","SATA","120 GB","","",""
"Kingston Now V300 60GB MLC",0,"Kingston","SV300S37A/60G","SATA","SATA","60 GB","","",""
"Kingston NV1 NVMe 1000 GB",86.31,"Kingston","SNVS/1000G","M.2","NVM","1000 GB","","","https://www.amazon.ca/dp/B091BDQ2B6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Kingston NV1 NVMe 2000 GB",136.67,"Kingston","SNVS/2000G","M.2","NVM","2000 GB","","","https://www.amazon.ca/dp/B091BG4HDW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Kingston NV1 NVMe 250 GB",38.92,"Kingston","SNVS/250G","M.2","NVM","250 GB","","","https://www.amazon.ca/dp/B09DVP94WC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Kingston NV1 NVMe 500 GB",50.04,"Kingston","SNVS/500G","M.2","NVM","500 GB","","","https://www.amazon.ca/dp/B091BCQK7B?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Kingston Solid State Drive",0,"Kingston","SM2280S3G2/120G","M.2","SATA","120 GB","MLC","Phison PS3110",""
"Kingston Solid State Drive",0,"Kingston","SM2280S3G2/240G","M.2","SATA","240 GB","MLC","Phison PS3110",""
"Kingston Solid State Drive",33.68,"Kingston","SM2280S3G2/480G","M.2","SATA","480 GB","MLC","Phison PS3110","https://www.amazon.ca/dp/B01BJ0HQK6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Kingston SSDNow A400 Series 120 GB",15.95,"Kingston","SA400S37/120G","SATA","SATA","120 GB","TLC","Phison PS3111-S-11","https://www.amazon.ca/dp/B01N6JQS8C?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Kingston SSDNow A400 Series 240 GB",21.75,"Kingston","SA400S37/240G","SATA","SATA","240 GB","TLC","Phison PS3111-S-11","https://www.amazon.ca/dp/B01N5IB20Q?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Kingston SSDNow A400 Series 480 GB",31.17,"Kingston","SA400S37/480G","SATA","SATA","480 GB","TLC","Phison PS3111-S-11","https://www.amazon.ca/dp/B01N0TQPQB?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Kingston SSDNow E50 Series",0,"Kingston","SE50S37/100G","SATA","SATA","100 GB","","",""
"Kingston SSDNow UV400 Series",0,"Kingston","SUV400S37/480G","SATA","SATA","480 GB","TLC","Marvell 88SS1074",""
"Kingston SSDNow UV400 Series",0,"Kingston","SUV400S37/120G","SATA","SATA","120 GB","TLC","Marvell 88SS1074",""
"Kingston SSDNow UV400 Series",0,"Kingston","SUV400S37/960G","SATA","SATA","960 GB","TLC","Marvell 88SS1074",""
"Kingston SSDNow UV500 Series 120 GB",28.28,"Kingston","SUV500/120G","SATA","SATA","120 GB","TLC","Marvell 88SS1074","https://www.amazon.ca/Kingston-120GB-UV500-SSD-SATA/dp/B07CFXXF49?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07CFXXF49"
"Kingston SSDNow UV500 Series 240 GB",40.58,"Kingston","SUV500/240G","SATA","SATA","240 GB","TLC","Marvell 88SS1074","https://www.amazon.ca/Kingston-240GB-UV500-SSD-SATA/dp/B07CCD16YD?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07CCD16YD"
"Kingston SSDNow UV500 Series 480 GB",63.83,"Kingston","SUV500/480G","SATA","SATA","480 GB","TLC","Marvell 88SS1074","https://www.amazon.ca/Kingston-480GB-UV500-SSD-SATA/dp/B07CFXNRVD?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07CFXNRVD"
"Kingston SSDNow UV500 Series 960 GB",134.91,"Kingston","SUV500/960G","SATA","SATA","960 GB","TLC","Marvell 88SS1074","https://www.amazon.ca/Kingston-960GB-UV500-SSD-C2C/dp/B07C53S2LT?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07C53S2LT"
"Kingston Solid State DriveNow UV500 Series M.2 Solid State Drive",47.14,"Kingston","SUV500M8/240G","M.2","SATA","240 GB","TLC","Marvell 88SS1074","https://www.amazon.ca/dp/B07C3YHRW3?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
