"Name","Price","ProducerName","MPN","FormFactor","Size","RPM","Cache","ProductPage"
"Toshiba X300 HDWF180EZSTA 8TB 128MB",0,"Toshiba","HDWF180EZSTA","","8 TB",7200,"",""
"Toshiba X300 HDWF180UZSVA 8TB 128MB Bulk",0,"Toshiba","HDWF180UZSVA","","8 TB",7200,"",""
"Toshiba X300 SATA 6G, 4 TB",0,"Toshiba","HDWE140UZSVA",3.5,"4 TB",7200,128,""
"Toshiba X300 SATA 6G, 6 TB",0,"Toshiba","HDWE160UZSVA",3.5,"6 TB",7200,128,""
"WD AV-GP WD10EURX",0,"Western Digital","WD10EURX","","1 TB",5400,"",""
"WD AV-GP WD20EURX",0,"Western Digital","WD20EURX","","2 TB",5400,"",""
"WD AV-GP WD30EURX",0,"Western Digital","WD30EURX","","3 TB",5400,"",""
"WD AV-GP WD40EURX",0,"Western Digital","WD40EURX","","4 TB",5400,"",""
"WD Black WD4004FZWX",211.43,"Western Digital","WD4004FZWX","","4 TB",7200,"","https://www.amazon.ca/Performance-Drive-Internal-Drives-WD4004FZWX/dp/B01GWS2ZOC?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01GWS2ZOC"
"WD Black WD6001FZWX",284.74,"Western Digital","WD6001FZWX","","6 TB",7200,"","https://www.amazon.ca/Black-Performance-Desktop-Hard-Drive/dp/B011LVAVEQ?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B011LVAVEQ"
"WD Blue SSHD WD40E31X",0,"Western Digital","WD40E31X","","4 TB",5400,"",""
"WD Blue WD50EZRZ",193.42,"Western Digital","WD50EZRZ","","5 TB",5400,"","https://www.amazon.ca/dp/B013HNYVFG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"WD Gold WD4002FYYZ",145.07,"Western Digital","WD4002FYYZ","","4 TB",7200,"","https://www.amazon.ca/Western-Digital-Enterprise-Class-Drive/dp/B01AV1697A?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01AV1697A"
"WD Gold WD8002FRYZ",337.22,"Western Digital","WD8002FRYZ","","8 TB",7200,"","https://www.amazon.ca/Gold-Datacenter-Hard-Disk-Drive/dp/B01E17L38A?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01E17L38A"
"WD Purple NV WD4NPURX",181.18,"Western Digital","WD4NPURX","","4 TB",5400,"","https://www.amazon.ca/Western-Digital-Surveillance-Internal-DriveWD4NPURX/dp/B00WMF076S?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00WMF076S"
"WD Purple NV WD6NPURX",0,"Western Digital","WD6NPURX","","6 TB",5400,"",""
"WD Purple WD10PURX",0,"Western Digital","WD10PURX","","1 TB",5400,"",""
"WD Purple WD20PURX",87.89,"Western Digital","WD20PURX","","2 TB",5400,"","https://www.amazon.ca/Intellipower-sata_6_0_gb-3-5-Inch-Internal-WD20PURX/dp/B00IMPO5MO?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00IMPO5MO"
"WD Purple WD30PURX",105.62,"Western Digital","WD30PURX","","3 TB",5400,"","https://www.amazon.ca/dp/B00IMPO5N8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"WD Purple WD40PURX",171.54,"Western Digital","WD40PURX","","4 TB",5400,"","https://www.amazon.ca/dp/B00IMPO5OW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"WD Purple WD50PURX",0,"Western Digital","WD50PURX","","5 TB",5400,"",""
"WD Purple WD60PURX",192.25,"Western Digital","WD60PURX","","6 TB",5400,"","https://www.amazon.ca/dp/B00P0NV43E?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"WD Purple WD80PUZX",294.61,"Western Digital","WD80PUZX","","8 TB",5400,"","https://www.amazon.ca/Wd-Purple-Surveillance-Hard-Drive/dp/B01C2PWLZW?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01C2PWLZW"
"WD RE WD1004FBYZ",0,"Western Digital","WD1004FBYZ","","1 TB",7200,"",""
"WD RE WD5001FSYZ",0,"Western Digital","WD5001FSYZ","","5 TB",7200,"",""
"WD RE+ WD5005FRPZ",0,"Western Digital","WD5005FRPZ","","5 TB",5760,"",""
"WD RE+ WD6005FRPZ",0,"Western Digital","WD6005FRPZ","","6 TB",5760,"",""
"WD Red Pro WD4002FFWX",185.51,"Western Digital","WD4002FFWX","","4 TB",7200,"","https://www.amazon.ca/Western-Digital-3-5-Inch-Internal-WD4002FFWX/dp/B01CL6R7QU?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01CL6R7QU"
"WD Red Pro WD6002FFWX",246.53,"Western Digital","WD6002FFWX","","6 TB",7200,"","https://www.amazon.ca/Red-Pro-NAS-Hard-Drive/dp/B01CHP20MG?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01CHP20MG"
"WD Red Pro WD8001FFWX",394.44,"Western Digital","WD8001FFWX","","8 TB",7200,"","https://www.amazon.ca/3-5-Inch-7200rpm-128MB-Internal-WD8001FFWX/dp/B01H33VQDG?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01H33VQDG"
"WD Red WD80EFZX",304.54,"Western Digital","WD80EFZX","","8 TB",5400,"","https://www.amazon.ca/Red-8TB-Hard-Disk-Drive/dp/B01BYLY4DM?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01BYLY4DM"
"Western Blue Mobile 1 TB",47.13,"Western Digital","WD10SPZX",2.5,"1 TB",5400,128,"https://www.amazon.ca/dp/B071F9MLJJ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Blue Mobile 2 TB",72.52,"Western Digital","WD20SPZX",2.5,"2 TB",5400,128,"https://www.amazon.ca/dp/B079BQS5WQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Black 1 TB",58.01,"Western Digital","WD1003FZEX",3.5,"1 TB",7200,64,"https://www.amazon.ca/dp/B00FJRS6FU?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Black 2 TB",100.81,"Western Digital","WD2003FZEX",3.5,"2 TB",7200,64,"https://www.amazon.ca/dp/B00FJRS628?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Black 2,5 Zoll",65.97,"Western Digital","WD10JPLX",2.5,"1 TB",7200,32,"https://www.amazon.ca/WESTERN-DIGITAL-Performance-Mobile-WD10JPLX/dp/B01DOL05OC?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01DOL05OC"
"Western Digital Black 4 TB",141.43,"Western Digital","WD4005FZBX",3.5,"4 TB",7200,256,"https://www.amazon.ca/dp/B0792G331G?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Black 6 TB",174.08,"Western Digital","WD6003FZBX",3.5,"6 TB",7200,256,"https://www.amazon.ca/dp/B0792GSD6N?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Blue",240.51,"Western Digital","WD60EZRZ",3.5,"6 TB",5400,64,"https://www.amazon.ca/dp/B013HNYVCE?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Blue 1 TB",43.52,"Western Digital","WD10EZRZ",3.5,"1 TB",5400,64,"https://www.amazon.ca/Blue-Desktop-Hard-Disk-Drive/dp/B013HNYVLA?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B013HNYVLA"
"Western Digital Blue 1 TB",50.75,"Western Digital","WD10EZEX",3.5,"1 TB",7200,64,"https://www.amazon.ca/dp/B0088PUEPK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Blue 2 TB",55.12,"Western Digital","WD20EZAZ",3.5,"2 TB",5400,256,"https://www.amazon.ca/dp/B07JC1TQ7N?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Blue 2 TB",63.1,"Western Digital","WD20EZRZ",3.5,"2 TB",5400,64,"https://www.amazon.ca/dp/B013QFRS2S?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Blue 2,5 Zoll",61.89,"Western Digital","WD10JPVX",2.5,"1 TB",5400,8,"https://www.amazon.ca/5400rpm-Sata-Scorpio-Blue-WD10JPVX/dp/B00C9TEBJQ?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00C9TEBJQ"
"Western Digital Blue 3 TB",80.04,"Western Digital","WD30EZRZ",3.5,"3 TB",5400,64,"https://www.amazon.ca/dp/B013HNYV42?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Blue 4 TB",122.23,"Western Digital","WD40EZRZ",3.5,"4 TB",5400,64,"https://www.amazon.ca/dp/B013HNYV8I?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Blue 6 TB",137.81,"Western Digital","WD60EZAZ",3.5,"6 TB",5400,256,"https://www.amazon.ca/WD-Blue-6TB-Hard-Drive/dp/B07MYKZGVX?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07MYKZGVX"
"Western Digital Gold 1 TB",87.02,"Western Digital","WD1005FBYZ",3.5,"1 TB",7200,128,"https://www.amazon.ca/dp/B01IY9USY6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Gold 10 TB",235.73,"Western Digital","WD102KRYZ",3.5,"10 TB",7200,256,"https://www.amazon.ca/dp/B07XDD5MV8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Gold 12 TB",282.87,"Western Digital","WD121KRYZ",3.5,"12 TB",7200,256,"https://www.amazon.ca/dp/B075L6FJH8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Gold 14 TB",315.52,"Western Digital","WD141KRYZ",3.5,"14 TB",7200,512,"https://www.amazon.ca/dp/B07XC95Y28?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Gold 16 TB",0,"Western Digital","WD161KRYZ",3.5,"16 TB",7200,512,""
"Western Digital Gold 2 TB",115.32,"Western Digital","WD2005FBYZ",3.5,"2 TB",7200,128,"https://www.amazon.ca/dp/B01IY9UTMM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Gold 4 TB",154.48,"Western Digital","WD4003FRYZ",3.5,"4 TB",7200,256,"https://www.amazon.ca/dp/B07XDD6GD3?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Gold 6 TB",192.2,"Western Digital","WD6003FRYZ",3.5,"6 TB",7200,256,"https://www.amazon.ca/dp/B07XHCT33G?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Gold 8 TB",217.59,"Western Digital","WD8004FRYZ",3.5,"8 TB",7200,256,"https://www.amazon.ca/dp/B07XGDNZXT?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Gold, Intellipower",233.85,"Western Digital","WD6002FRYZ",3.5,"6 TB",7200,128,"https://www.amazon.ca/Western-Digital-Enterprise-Class-Drive/dp/B01AV168FS?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01AV168FS"
"Western Digital Gold, Intellipower",316.51,"Western Digital","WD8003FRYZ",3.5,"8 TB",7200,256,"https://www.amazon.ca/WESTERN-DIGITAL-Enterprise-Class-Drive/dp/B074WH5NPT?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B074WH5NPT"
"Western Digital Gold, Intellipower",413.22,"Western Digital","WD101KRYZ",3.5,"10 TB",7200,256,"https://www.amazon.ca/Gold-10TB-Datacenter-Hard-Drive/dp/B01IWCMS5M?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01IWCMS5M"
"Western Digital Purple 8 TB",188.97,"Western Digital","WD84PURZ",3.5,"8 TB",7200,256,"https://www.amazon.ca/dp/B08XNL4CRM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Purple, Intellipower",270.51,"Western Digital","WD100PURZ",3.5,"10 TB",5400,256,"https://www.amazon.ca/Western-Digital-Surveillance-3-5-Inch-Internal/dp/B06XRRT1PJ?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06XRRT1PJ"
"Western Digital RE",0,"Western Digital","WD2004FBYZ","","2 TB",7200,128,""
"Western Digital Red 1 TB",50.77,"Western Digital","WD10EFRX",3.5,"1 TB",5400,64,"https://www.amazon.ca/dp/B008JJLXO6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Red 1 TB",90.82,"Western Digital","WD10JFCX",3.5,"1 TB",5400,16,"https://www.amazon.ca/dp/B00EHBES1U?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Red 10 TB",259.39,"Western Digital","WD101EFAX",3.5,"10 TB",5400,256,"https://www.amazon.ca/dp/B083JXTH5L?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Red 10 TB",327.86,"Western Digital","WD100EFAX",3.5,"10 TB",5400,256,"https://www.amazon.ca/dp/B0719498XY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Red 12 TB",297.94,"Western Digital","WD120EFAX",3.5,"12 TB",5400,256,"https://www.amazon.ca/dp/B07RQ99XJH?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Red 14 TB",457.18,"Western Digital","WD140EFFX",3.5,"14 TB",5400,512,"https://www.amazon.ca/dp/B07YFGMZVV?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Red 2 TB",54.42,"Western Digital","WD20EFAX",3.5,"2 TB",5400,256,"https://www.amazon.ca/dp/B07PGWXQCM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Red 2 TB",72.53,"Western Digital","WD20EFRX",3.5,"2 TB",5400,64,"https://www.amazon.ca/Sata-64mb-Intellipower-Years-Warranty/dp/B008RAWX0U?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B008RAWX0U"
"Western Digital Red 3 TB",61.65,"Western Digital","WD30EFAX",3.5,"3 TB",5400,256,"https://www.amazon.ca/dp/B083XVD1FP?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Red 3 TB",89.93,"Western Digital","WD30EFRX",3.5,"3 TB",5400,64,"https://www.amazon.ca/dp/B008JJLW4M?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Red 4 TB",84.22,"Western Digital","WD40EFAX",3.5,"4 TB",5400,256,"https://www.amazon.ca/dp/B083XVY99B?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Red 4 TB",116.05,"Western Digital","WD40EFRX",3.5,"4 TB",5400,64,"https://www.amazon.ca/Western-Digital-3-5-Inch-Drive-WD40EFRX/dp/B00EHBERSE?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00EHBERSE"
"Western Digital Red 6 TB",101.55,"Western Digital","WD60EFAX",3.5,"6 TB",5400,256,"https://www.amazon.ca/dp/B07MYL7KVK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Red 8 TB",217.61,"Western Digital","WD80EFAX",3.5,"8 TB",5400,256,"https://www.amazon.ca/dp/B07D3MWMNZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Red Plus 8 TB",168.11,"Western Digital","WD80EFZZ",3.5,"8 TB",5640,128,"https://www.amazon.ca/dp/B09QQX27GM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Red Plus 10 TB",199.47,"Western Digital","WD101EFBX",3.5,"10 TB",7200,256,"https://www.amazon.ca/dp/B08TZPS4QQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Red Plus 12 TB",228.49,"Western Digital","WD120EFBX",3.5,"12 TB",7200,256,"https://www.amazon.ca/dp/B08V1L1WYD?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Red Plus 14 TB",297.4,"Western Digital","WD140EFGX",3.5,"14 TB",7200,512,"https://www.amazon.ca/dp/B08V13TGP4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Red Plus 2 TB",54.4,"Western Digital","WD20EFZX",3.5,"2 TB",5400,128,"https://www.amazon.ca/dp/B08VH891FS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Red Plus 3 TB",65.28,"Western Digital","WD30EFZX",3.5,"3 TB",5400,128,"https://www.amazon.ca/dp/B08VH9NDV7?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Red Plus 4 TB",79.78,"Western Digital","WD40EFZX",3.5,"4 TB",5400,128,"https://www.amazon.ca/dp/B08VH8C3WZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Red Plus 6 TB",104.44,"Western Digital","WD60EFZX",3.5,"6 TB",5640,128,"https://www.amazon.ca/dp/B08TZYBMMC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Red Plus 8 TB",169,"Western Digital","WD80EFBX",3.5,"8 TB",7200,256,"https://www.amazon.ca/dp/B08TZT47VT?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Red Pro 10 TB",35.49,"Western Digital","WD101KFBX",3.5,"10 TB",7200,256,"https://www.amazon.ca/dp/B072LX5HDW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Red Pro 10 TB",235.73,"Western Digital","WD102KFBX",3.5,"10 TB",7200,256,"https://www.amazon.ca/dp/B084F34HZ6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Red Pro 12 TB",257.49,"Western Digital","WD121KFBX",3.5,"12 TB",7200,256,"https://www.amazon.ca/dp/B07RTMPWD8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Red Pro 14 TB",297.38,"Western Digital","WD141KFGX",3.5,"14 TB",7200,512,"https://www.amazon.ca/dp/B07YFGW736?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Red Pro 16 TB",319.14,"Western Digital","WD161KFGX",3.5,"16 TB",7200,512,"https://www.amazon.ca/dp/B08K3VVKSW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Red Pro 18 TB",326.4,"Western Digital","WD181KFGX",3.5,"18 TB",7200,512,"https://www.amazon.ca/dp/B08K3TFM92?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Red Pro 2 TB",79.78,"Western Digital","WD2002FFSX",3.5,"2 TB",7200,64,"https://www.amazon.ca/dp/B01FYXPGT2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Red Pro 4 TB",147.95,"Western Digital","WD4003FFBX",3.5,"4 TB",7200,256,"https://www.amazon.ca/dp/B07B1WK3N5?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Red Pro 6 TB",195.11,"Western Digital","WD6003FFBX",3.5,"6 TB",7200,256,"https://www.amazon.ca/dp/B07B1HX5KN?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Red Pro 8 TB",215.68,"Western Digital","WD8003FFBX",3.5,"8 TB",7200,256,"https://www.amazon.ca/dp/B07D3N95GS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Red, Intellipower",196.09,"Western Digital","WD60EFRX",3.5,"6 TB",5400,64,"https://www.amazon.ca/dp/B00LO3KR96?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital SE",0,"Western Digital","WD5001F9YZ","","5 TB",7200,"",""
