"Name","Price","ProducerName","MPN","Socket","ChipSet","Unlocked","FormFactor","MemoryType","MemoryCapacity","RAMSlots","SATA","VGA","DVI","Display Port","HDMI","Wifi","Integrated Graphics","ProductPage"
"ASRock H110 PRO BTC+",106.35,"ASRock","90-MXB5S0-A0UAYZ","LGA 1151","H110","FALSE","ATX","DDR4","32 GB",2,4,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/ASRock-H110-Mining-Motherboard-Cryptocurrency/dp/B073BX57M1?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B073BX57M1"
"ASRock H110M-STX",0,"ASRock","90-BXG2T0-A0UAYP","LGA 1151","H110","FALSE","Mini-STX","SO - DIMM","32 GB",2,2,0,0,0,0,"FALSE","FALSE",""
"ASRock H170 PRO4",0,"ASRock","H170 PRO4","LGA 1151","H170","FALSE","ATX","DDR4","64 GB",4,6,0,1,0,1,"FALSE","FALSE",""
"ASRock H170M PRO4",0,"ASRock","H170M PRO4","LGA 1151","H170","FALSE","Micro-ATX","DDR4","GB",4,6,"","","","","FALSE","FALSE",""
"ASRock H170M-ITX/AC",0,"ASRock","H170M-ITX/AC","LGA 1151","H170","FALSE","Mini-ITX","DDR4","32 GB",2,4,0,1,0,1,"TRUE","FALSE",""
"ASRock H270 Pro 4",0,"ASRock","90-MXB3R0-A0UAYZ","LGA 1151","H270","FALSE","ATX","DDR4","64 GB",4,6,0,0,0,1,"FALSE","FALSE",""
"ASRock H270M Pro4",98.85,"ASRock","90-MXB3D0-A0UAYZ","LGA 1151","H270","FALSE","Micro-ATX","DDR4","64 GB",4,6,0,0,0,1,"FALSE","FALSE","https://www.amazon.ca/ASRock-Motherboard-Motherboards-H270M-PRO4/dp/B01MQQEWR7?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01MQQEWR7"
"ASRock H270M-ITX/ac",0,"ASRock","90-MXB3L0-A0UAYZ","LGA 1151","H270","FALSE","Mini-ITX","DDR4","32 GB",2,6,0,0,0,0,"FALSE","FALSE",""
"ASRock H310M-DGS",0,"ASRock","90-MXB700-A0UAYZ","LGA 1151","H310","FALSE","Micro-ATX","DDR4","32 GB",2,4,0,0,0,0,"FALSE","FALSE",""
"ASRock H310M-HDV/M.2",0,"ASRock","90-MXB720-A0UAYZ","LGA 1151","H310","FALSE","Micro-ATX","DDR4","32 GB",2,4,0,0,0,0,"FALSE","FALSE",""
"ASRock H310M-ITX/AC",135.65,"ASRock","90-MXB7A0-A0UAYZ","LGA 1151","H310","FALSE","Mini-ITX","DDR4","32 GB",2,4,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/ASRock-Motherboard-H310M-ITX-802-11ac-Retail/dp/B07BMQZWV2?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07BMQZWV2"
"ASRock H370 Performance Fatal1ty",0,"ASRock","90-MXB6X0-A0UAYZ","LGA 1151","H370","FALSE","ATX","DDR4","64 GB",4,6,0,0,1,1,"FALSE","FALSE",""
"ASRock H370 Pro4",0,"ASRock","90-MXB6U0-A0UAYZ","LGA 1151","H370","FALSE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"ASRock H370M Pro4",97.77,"ASRock","90-MXB750-A0UAYZ","LGA 1151","H370","FALSE","Micro-ATX","DDR4","64 GB",4,6,0,0,0,1,"FALSE","FALSE","https://www.amazon.ca/dp/B07BMVTZDW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock H370M-ITX/AC",124.36,"ASRock","90-MXB6R0-A0UAYZ","LGA 1151","H370","FALSE","Mini-ITX","DDR4","32 GB",2,6,0,0,1,2,"FALSE","FALSE","https://www.amazon.ca/dp/B07BMV3X6N?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock H410M-HDV",66.92,"ASRock","90-MXBD60-A0UAYZ","LGA 1200","H410","FALSE","Micro-ATX","DDR4","64 GB",2,4,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/dp/B0895L5MGN?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock H410M-HDV/M.2",0,"ASRock","90-MXBD70-A0UAYZ","LGA 1200","H410","FALSE","Micro-ATX","DDR4","64 GB",2,4,0,0,0,0,"FALSE","FALSE",""
"ASRock H410M-HVS",0,"ASRock","90-MXBDC0-A0UAYZ","LGA 1200","H410","FALSE","Micro-ATX","DDR4","64 GB",2,4,0,0,0,0,"FALSE","FALSE",""
"ASRock H410M-ITX/ac",0,"ASRock","90-MXBCT0-A0UAYZ","LGA 1200","H410","FALSE","Mini-ITX","DDR4","64 GB",2,4,0,0,0,0,"FALSE","FALSE",""
"ASRock H470 Phantom Gaming 4",0,"ASRock","90-MXBD80-A0UAYZ","LGA 1200","H470","FALSE","ATX","DDR4","128 GB",4,6,0,0,1,1,"FALSE","FALSE",""
"ASRock H470 Steel Legend",0,"ASRock","90-MXBCK0-A0UAYZ","LGA 1200","H470","FALSE","ATX","DDR4","128 GB",4,6,0,0,1,1,"FALSE","FALSE",""
"ASRock H470M Pro4",0,"ASRock","90-MXBCF0-A0UAYZ","LGA 1200","H470","FALSE","Micro-ATX","DDR4","128 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"ASRock H470M-ITX/ac",0,"ASRock","90-MXBCL0-A0UAYZ","LGA 1200","H470","FALSE","Mini-ITX","DDR4","64 GB",2,4,0,0,0,0,"FALSE","FALSE",""
"ASRock H510M-HDV",0,"ASRock","90-MXBG20-A0UAYZ","LGA 1200","H510","FALSE","Micro-ATX","DDR4","64 GB",2,4,1,1,0,1,"FALSE","FALSE",""
"ASRock H510M-HDV/M.2",0,"ASRock","90-MXBFT0-A0UAYZ","LGA 1200","H510","FALSE","Micro-ATX","DDR4","64 GB",2,4,1,1,0,1,"FALSE","FALSE",""
"ASRock H510M-HVS",0,"ASRock","90-MXBG30-A0UAYZ","LGA 1200","H510","FALSE","Micro-ATX","DDR4","64 GB",2,4,1,0,0,1,"FALSE","FALSE",""
"ASRock H510M-ITX/ac",0,"ASRock","90-MXBF30-A0UAYZ","LGA 1200","H510","FALSE","Mini-ITX","DDR4","64 GB",2,4,0,0,1,1,"TRUE","FALSE",""
"ASRock H570 Phantom Gaming 4",76.16,"ASRock","90-MXBFX0-A0UAYZ","LGA 1200","H570","FALSE","ATX","DDR4","128 GB",4,6,0,0,1,1,"TRUE","FALSE","https://www.amazon.ca/dp/B09JM6QYG1?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock H570 Steel Legend",0,"ASRock","90-MXBFY0-A0UAYZ","LGA 1200","H570","FALSE","ATX","DDR4","128 GB",4,6,0,0,1,1,"TRUE","FALSE",""
"ASRock H570M Pro4",0,"ASRock","90-MXBFR0-A0UAYZ","LGA 1200","H570","FALSE","Micro-ATX","DDR4","64 GB",2,4,0,0,1,1,"TRUE","FALSE",""
"ASRock H570M-ITX/ac",0,"ASRock","90-MXBEU0-A0UAYZ","LGA 1200","H570","FALSE","Micro-ATX","DDR4","64 GB",2,4,0,0,1,1,"TRUE","FALSE",""
"ASRock H81 PRO BTC R2.0",81.04,"ASRock","90-MXGUP0-A0UAYZ","LGA 1150","H81","FALSE","ATX","DDR3","16 GB",2,2,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/ASRock-H81-PRO-BTC-R2-0/dp/B01M5FQZYE?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01M5FQZYE"
"ASRock H81M-ITX",0,"ASRock","90-MXGPN0-A0UAYZ","LGA 1150","H81","FALSE","Mini-ITX","DDR3","16 GB",2,2,0,0,0,0,"FALSE","FALSE",""
"ASRock H97 Pro4",0,"ASRock","H97 Pro4","LGA 1150","H97","FALSE","ATX","DDR3","GB",4,6,"","","","","FALSE","FALSE",""
"ASRock H97M Pro4 GL/SATA600/DVI/HDMI/VGA",0,"ASRock","H97M PRO4","LGA 1150","H97","FALSE","Micro-ATX","DDR3","GB",4,"","","","","","FALSE","FALSE",""
"ASRock TRX40 Creator",0,"ASRock","90-MXBB70-A0UAYZ","TRX40","TRX40","FALSE","ATX","DDR4","256 GB",8,8,0,0,0,0,"FALSE","FALSE",""
"ASRock TRX40 Taichi",0,"ASRock","90-MXBBK0-A0UAYZ","TRX40","TRX40","FALSE","ATX","DDR4","256 GB",8,8,0,0,0,0,"FALSE","FALSE",""
"ASRock WRX80 Creator R2.0",0,"ASRock","90-MXBKH0-A0UAYZ","LGA 1700","B660","FALSE","E-ATX","DDR4","2048 GB",8,8,0,0,2,0,"TRUE","FALSE",""
"ASRock X299 Gaming i9",390.21,"ASRock","90-MXB5B0-A0UAYZ","LGA 2066","X299","TRUE","ATX","DDR4","128 GB",8,10,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/ASRock-X299-Professional-I9-Motherboard/dp/B073BFNH8Z?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B073BFNH8Z"
"ASRock X299 Killer SLI/ac",0,"ASRock","90-MXB5F0-A0UAYZ","LGA 2066","X299","TRUE","ATX","DDR4","128 GB",8,8,0,0,0,0,"FALSE","FALSE",""
"ASRock X299 OC Formula",0,"ASRock","90-MXB5T0-A0UAYZ","LGA 2066","X299","TRUE","ATX","DDR4","64 GB",4,8,0,0,0,0,"FALSE","FALSE",""
"ASRock X299 Taichi",310.87,"ASRock","90-MXB5C0-A0UAYZ","LGA 2066","X299","TRUE","ATX","DDR4","128 GB",8,6,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/ASRock-X299-Max-128GB-Express-Motherboard/dp/B072ZTTWFJ?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B072ZTTWFJ"
"ASRock X299 Taichi XE",338.9,"ASRock","90-MXB6J0-A0UAYZ","LGA 2066","X299","TRUE","ATX","DDR4","128 GB",8,10,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/ASRock-X299-XE-CrossFireX-Motherboard/dp/B0766RQ2KG?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0766RQ2KG"
"ASRock X299E-ITX/AC",405.24,"ASRock","90-MXB5W0-A0UAYZ","LGA 2066","X299","TRUE","Mini-ITX","DDR4, SO - DIMM","64 GB",4,6,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/ASRock-X299E-ITX-AC-X299-DDR4/dp/B075KJJ93M?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B075KJJ93M"
"ASRock X370 Gaming K4",0,"ASRock","X370 Gaming K4","AM4","X370","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,1,"FALSE","FALSE",""
"ASRock X370 Killer SLI",0,"ASRock","90-MXB560-A0UAYZ","AM4","X370","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"ASRock X370 Professional Gaming, AMD X370",210.45,"ASRock","90-MXB4L0-A0UAYZ","AM4","X370","TRUE","ATX","DDR4","64 GB",4,8,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/dp/B06X9MP4ML?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock X370 Taichi, AMD X370",163.45,"ASRock","90-MXB500-A0UAYZ","AM4","X370","TRUE","ATX","DDR4","64 GB",4,8,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/dp/B06WXX9FDG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock X470 Fatal1ty Gaming K4, AMD X470",165.23,"ASRock","90-MXB7E0-A0UAYZ","AM4","X470","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/dp/B07C1Z3FW9?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock X470 Master SLI",0,"ASRock","90-MXB7F0-A0UAYZ","AM4","X470","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"ASRock X470 Taichi Ultimate, AMD X470",304.65,"ASRock","90-MXB7H0-A0UAYZ","AM4","X470","TRUE","ATX","DDR4","64 GB",4,8,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/dp/B07C1Z3VPR?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock X470 Taichi, AMD X470",213.3,"ASRock","90-MXB7J0-A0UAYZ","AM4","X470","TRUE","ATX","DDR4","64 GB",4,8,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/dp/B07C1Z4RMT?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock X570 Aqua, AMD X570",0,"ASRock","90-MXBAZ0-A0UAYZ","AM4","X570","TRUE","E-ATX","DDR4","128 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"ASRock X570 Extreme4, AMD X570",213.88,"ASRock","90-MXBAP0-A0UAYZ","AM4","X570","TRUE","ATX","DDR4","128 GB",4,8,0,0,0,1,"FALSE","FALSE","https://www.amazon.ca/dp/B07TK31ZY7?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock X570 PG Velocita",0,"ASRock","90-MXBER0-A0UAYZ","AM4","X570","TRUE","ATX","DDR4","128 GB",4,8,0,0,1,1,"TRUE","FALSE",""
"ASRock X570 Phantom Gaming 4, AMD X570",148.69,"ASRock","90-MXBAU0-A0UAYZ","AM4","X570","TRUE","ATX","DDR4","128 GB",4,8,0,0,1,1,"FALSE","FALSE","https://www.amazon.ca/dp/B07TGHV63W?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock X570 Phantom Gaming X, AMD X570",0,"ASRock","90-MXBAN0-A0UAYZ","AM4","X570","TRUE","ATX","DDR4","128 GB",4,8,0,0,0,1,"FALSE","FALSE",""
"ASRock X570 Phantom Gaming-ITX/TB3, AMD X570",254.77,"ASRock","90-MXBB10-A0UAYZ","AM4","X570","TRUE","Mini-ITX","DDR4","64 GB",2,4,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/dp/B07VXYYG7F?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock X570 Pro4, AMD X570",176.59,"ASRock","90-MXBAT0-A0UAYZ","AM4","X570","TRUE","ATX","DDR4","128 GB",4,8,0,0,0,1,"FALSE","FALSE","https://www.amazon.ca/dp/B07THYPNC1?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock X570 Steel Legend, AMD X570",169.72,"ASRock","90-MXBAR0-A0UAYZ","AM4","X570","TRUE","ATX","DDR4","128 GB",4,8,0,0,0,1,"FALSE","FALSE","https://www.amazon.ca/dp/B07WHHWBX5?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock X570 Taichi Razer Edition",0,"ASRock","90-MXBEY0-A0UAYZ","AM4","X570","TRUE","ATX","DDR4","128 GB",4,8,0,0,0,1,"TRUE","FALSE",""
"ASRock X570M Pro4, AMD X570",190.43,"ASRock","90-MXBAS0-A0UAYZ","AM4","X570","TRUE","Micro-ATX","DDR4","128 GB",4,8,0,0,0,1,"FALSE","FALSE","https://www.amazon.ca/dp/B07TD8ZT5T?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock X570S PG Riptide",0,"ASRock","90-MXBHX0-A0UAYZ","AM4","X570","TRUE","ATX","DDR4","128 GB",4,6,0,0,0,1,"FALSE","FALSE",""
"ASRock X670E PG Lightning",0,"ASRock","90-MXBJ60-A0UAYZ","AM5","X670E","FALSE","ATX","DDR5","128 GB",4,4,0,0,1,1,"FALSE","FALSE",""
"ASRock X670E Pro RS",0,"ASRock","90-MXBJ70-A0UAYZ","AM5","X670E","FALSE","ATX","DDR5","128 GB",4,6,0,0,1,1,"TRUE","FALSE",""
"ASRock X670E Steel Legend",0,"ASRock","90-MXBJ40-A0UAYZ","AM5","X670E","FALSE","ATX","DDR5","128 GB",4,4,0,0,1,1,"TRUE","FALSE",""
"ASRock X670E Taichi",0,"ASRock","90-MXBJ00-A0UAYZ","AM5","X670E","FALSE","E-ATX","DDR5","128 GB",4,4,0,0,0,1,"TRUE","FALSE",""
"ASRock X670E Taichi Carrara",0,"ASRock","90-MXBJ10-A0UAYZ","AM5","X670E","FALSE","E-ATX","DDR5","128 GB",4,4,0,0,0,1,"TRUE","FALSE",""
"ASRock X99 Extreme4",0,"ASRock","90-MXGVL0-A0UAYZ","LGA 2011-v3","X99","FALSE","ATX","DDR4","128 GB",8,10,0,0,0,0,"FALSE","FALSE",""
"ASRock X99 Extreme4/3.1 Intel X99",0,"ASRock","X99 EXTREME4/3.1","LGA 2011-v3","X99","FALSE","ATX","DDR4","GB",8,"","","","","","FALSE","FALSE",""
"ASRock X99 Extreme6",0,"ASRock","X99 EXTREME6","LGA 2011-v3","X99","FALSE","ATX","DDR4","GB",8,10,"","","","","FALSE","FALSE",""
"ASRock X99 OC Formula",0,"ASRock","90-MXGVX0-A0UAYZ","LGA 2011-v3","X99","FALSE","E-ATX","DDR4","128 GB",8,10,0,0,0,0,"FALSE","FALSE",""
"ASRock X99M Extreme4",0,"ASRock","90-MXGW10-A0UAYZ","LGA 2011-v3","X99","FALSE","Micro-ATX","DDR4","64 GB",4,10,0,0,0,0,"FALSE","FALSE",""
"ASRock X99M Killer",0,"ASRock","X99M Killer","LGA 2011-v3","X99","FALSE","Micro-ATX","DDR4","64 GB",4,10,0,0,0,0,"FALSE","FALSE",""
"ASRock X99X Killer",0,"ASRock","X99X Killer","LGA 2011-v3","X99","FALSE","ATX","DDR4","128 GB",8,10,0,0,0,0,"FALSE","FALSE",""
"ASRock Z170 Extreme4",0,"ASRock","Z170 Extreme4","LGA 1151","Z170","TRUE","ATX","DDR4","GB",4,"","","","","","FALSE","FALSE",""
"ASRock Z170 Extreme6",0,"ASRock","90-MXGXQ0-A0UAYZ","LGA 1151","Z170","TRUE","ATX","DDR4","64 GB",4,8,0,0,0,0,"FALSE","FALSE",""
"ASRock Z170 Extreme6+",0,"ASRock","90-MXB030-A0UAYZ","LGA 1151","Z170","TRUE","ATX","DDR4","64 GB",4,8,0,0,0,0,"FALSE","FALSE",""
"ASRock Z170 Extreme7+",225.19,"ASRock","Z170 Extreme7+","LGA 1151","Z170","TRUE","ATX","DDR4","64 GB",4,10,0,1,1,1,"FALSE","FALSE","https://www.amazon.ca/ASRock-DDR4-Motherboards-Z170-EXTREME7/dp/B012D7GV78?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B012D7GV78"
"ASRock Z170 Gaming K6",0,"ASRock","90-MXGYQ0-A0UAYZ","LGA 1151","Z170","TRUE","ATX","DDR4","64 GB",4,8,0,0,0,0,"FALSE","FALSE",""
"ASRock Z170 Gaming-ITX/ac",0,"ASRock","90-MXGYN0-A0UAYZ","LGA 1151","Z170","TRUE","Mini-ITX","DDR4","32 GB",2,6,0,0,0,0,"TRUE","FALSE",""
"ASRock Z170 OC Formula USB3.1/DP/HDMI/M.2/SATAe",0,"ASRock","90-MXGR80-A0UAYZ","LGA 1151","Z170","TRUE","ATX","DDR4","GB",4,"","","","","","FALSE","FALSE",""
"ASRock Z170 Pro4/D3 USB3.0/SATA600/DVI/HDMI/M.2/SATAe",0,"ASRock","90-MXB0A0-A0UAYZ","LGA 1151","Z170","TRUE","ATX","DDR3","GB",4,"","","","","","FALSE","FALSE",""
"ASRock Z170A-X1",0,"ASRock","Z170A-X1","LGA 1151","Z170","TRUE","ATX","DDR4","GB",4,"","","","","","FALSE","FALSE",""
"ASRock Z170M Pro4S USB3.0/SATA600/DVI/HDMI/M.2",0,"ASRock","90-MXB060-A0UAYZ","LGA 1151","Z170","TRUE","Micro-ATX","DDR4","GB",4,"","","","","","FALSE","FALSE",""
"ASRock Z170M-ITX/AC",0,"ASRock","Z170M-ITX/AC","LGA 1151","Z170","TRUE","Mini-ITX","DDR4","GB",2,"","","","","","FALSE","FALSE",""
"ASRock Z270 Extreme4",256.04,"ASRock","90-MXB3N0-A0UAYZ","LGA 1151","Z270","TRUE","ATX","DDR4","64 GB",4,8,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/ASRock-Z270-EXTREME4-CrossFireX-Motherboard/dp/B01NBEX0EK?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01NBEX0EK"
"ASRock Z270 SuperCarrier, Intel Z270",0,"ASRock","90-MXB440-A0UAYZ","LGA 1151","Z270","TRUE","ATX","DDR4","64 GB",4,10,0,0,0,0,"FALSE","FALSE",""
"ASRock Z270 Taichi",167.47,"ASRock","90-MXB4P0-A0UAYZ","LGA 1151","Z270","TRUE","ATX","DDR4","64 GB",4,10,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/ASRock-Z270-Taichi-CrossFireX-Motherboard/dp/B01MU7LLGW?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01MU7LLGW"
"ASRock Z270M Extreme4",0,"ASRock","90-MXB3X0-A0UAYZ","LGA 1151","Z270","TRUE","Micro-ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"ASRock Z370 Extreme4",176.98,"ASRock","90-MXB5U0-A0UAYZ","LGA 1151","Z370","TRUE","ATX","DDR4","64 GB",4,8,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/ASRock-Motherboard-Motherboards-Z370-EXTREME4/dp/B0763BS899?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0763BS899"
"ASRock Z370 Killer SLI",0,"ASRock","90-MXB630-A0UAYZ","LGA 1151","Z370","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"ASRock Z370 Taichi",210.86,"ASRock","90-MXB5Y0-A0UAYZ","LGA 1151","Z370","TRUE","ATX","DDR4","64 GB",4,8,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/ASRock-Intel-Z370-Motherboard-Taichi/dp/B07638ZKSD?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07638ZKSD"
"ASRock Z370M ITX/ac",154.82,"ASRock","90-MXB620-A0UAYZ","LGA 1151","Z370","TRUE","Mini-ITX","DDR4","32 GB",2,6,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/ASRock-Motherboard-Motherboards-Z370M-ITX-AC/dp/B07638L88W?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07638L88W"
"ASRock Z390 M Pro 4",122.27,"ASRock","90-MXB740-A0UAYZ","LGA 1151","Z390","FALSE","Micro-ATX","DDR4","GB",4,4,0,0,0,1,"FALSE","FALSE","https://www.amazon.ca/dp/B07HYR7CKR?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock Z390 Phantom Gaming 4",148.75,"ASRock","90-MXB8X0-A0UAYZ","LGA 1151","Z390","FALSE","ATX","DDR4","GB",4,4,0,0,0,1,"FALSE","FALSE","https://www.amazon.ca/dp/B07HYNG99P?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock Z390 Phantom Gaming-ITX/AC",208.47,"ASRock","90-MXB8L0-A0UAYZ","LGA 1151","Z390","FALSE","Mini-ITX","DDR4","GB",2,4,0,0,1,1,"FALSE","FALSE","https://www.amazon.ca/dp/B07HYNL939?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock Z390 Pro 4",116.05,"ASRock","90-MXB6T0-A0UAYZ","LGA 1151","Z390","FALSE","ATX","DDR4","GB",4,4,0,0,0,1,"FALSE","FALSE","https://www.amazon.ca/dp/B07HYFYGVZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock Z390 Taichi Ultimate",300.36,"ASRock","90-MXB8G0-A0UAYZ","LGA 1151","Z390","FALSE","ATX","DDR4","GB",4,4,0,0,0,1,"FALSE","FALSE","https://www.amazon.ca/dp/B07HYBV9TV?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock Z390M-ITX/AC",135.62,"ASRock","90-MXB6Q0-A0UAYZ","LGA 1151","Z390","FALSE","Mini-ITX","DDR4","GB",2,4,0,0,1,2,"FALSE","FALSE","https://www.amazon.ca/dp/B07HYPSLLS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock Z490 Aqua",0,"ASRock","90-MXBBW0-A0UAYZ","LGA 1200","Z490","TRUE","E-ATX","DDR4","128 GB",4,8,0,0,0,1,"TRUE","FALSE",""
"ASRock Z490 Extreme4",0,"ASRock","90-MXBC20-A0UAYZ","LGA 1200","Z490","TRUE","ATX","DDR4","128 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"ASRock Z490 PG Velocita",0,"ASRock","90-MXBBT0-A0UAYZ","LGA 1200","Z490","TRUE","ATX","DDR4","128 GB",4,8,0,0,1,1,"FALSE","FALSE",""
"ASRock Z490 Phantom Gaming 4",0,"ASRock","90-MXBC60-A0UAYZ","LGA 1200","Z490","TRUE","ATX","DDR4","128 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"ASRock Z490 Phantom Gaming 4/ac",0,"ASRock","90-MXBD20-A0UAYZ","LGA 1200","Z490","TRUE","ATX","DDR4","128 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"ASRock Z490 Phantom Gaming-ITX/TB3",0,"ASRock","90-MXBC40-A0UAYZ","LGA 1200","Z490","TRUE","Mini-ITX","DDR4","64 GB",2,4,0,0,1,1,"TRUE","FALSE",""
"ASRock Z490 Pro4",0,"ASRock","90-MXBC50-A0UAYZ","LGA 1200","Z490","TRUE","ATX","DDR4","128 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"ASRock Z490 Steel Legend",0,"ASRock","90-MXBC10-A0UAYZ","LGA 1200","Z490","TRUE","ATX","DDR4","128 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"ASRock Z490 Taichi",365.71,"ASRock","90-MXBBQ0-A0UAYZ","LGA 1200","Z490","TRUE","ATX","DDR4","128 GB",4,8,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/dp/B087TBBTGN?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock Z490M Pro4",178.82,"ASRock","90-MXBBV0-A0UAYZ","LGA 1200","Z490","TRUE","ATX","DDR4","128 GB",4,4,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/dp/B087TDJ2QN?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock Z490M-ITX/ac",155.32,"ASRock","90-MXBC00-A0UAYZ","LGA 1200","Z490","TRUE","Mini-ITX","DDR4","64 GB",2,4,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/dp/B087TDGDP7?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock Z590 Extreme",0,"ASRock","90-MXBF60-A0UAYZ","LGA 1200","Z590","TRUE","ATX","DDR4","128 GB",4,6,0,0,1,1,"FALSE","FALSE",""
